,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,accuracy,Popt,cErecall,cEprecision,cEfmeasure,cMCC,cPMI,cIFA,cPCI,c_ROI_PII,c_ROI_PCI,ceIFA,mRecall,mPrecision,mfmeasure,mMCC,mPMI,mIFA,mPCI,m_ROI_PII,m_ROI_PCI,meIFA,median_time,mean_time,std_time
activemq-5.0.0,0.7337552742616034,0.5373864430468205,0.035989743649991746,0.6140470974808325,0.7512321770443904,0.69222008964437,0.7217452549946342,0.6722985416651066,0.5708051189445587,0.899135446685879,0.7457263649461148,0.41742424242424236,0.6999526178630656,0.5209610901918593,0.47946647352765875,0.09247321553375701,0.0,0.20325648274408126,487.3080778301887,217.3735490375346,0.0008241014884739,0.6481481481481481,0.5017985611510791,0.5652038009502376,0.47836190445013727,0.1994177583697234,0.0,0.382459343587214,346.7768966644866,181.05591334581933,0.0008241014884739,10.539246699999993,10.545842504999996,1.7765945967731567
activemq-5.1.0,0.6666666666666666,0.175438596491228,0.0075312137049941,0.27777777777777773,0.5841518327893285,0.2982302527172161,0.41755600418405503,0.416929623883344,0.31681295888541533,0.927170868347339,0.6351935428931037,0.3383484162895928,0.17339103273247866,0.23043699186991864,0.15565769818322625,0.14355186211141885,1.0,0.2007147071550911,126.74933298626928,94.86629403157518,0.0034124706817788997,0.4,0.1538461538461538,0.22278623801466435,0.1444960660237603,0.199442119944212,1.0,0.23473267479362636,110.61111111111111,93.35263531450279,0.0034124706817788997,10.366239899999982,10.362849594999986,1.7330361831925132
activemq-5.2.0,0.6614382239382239,0.43714080459770116,0.0263929618768328,0.5254529767040552,0.7055246559991009,0.6035363851196922,0.6520221206456364,0.6016944690888029,0.49434252354883956,0.9152865985307312,0.7639812422882627,0.46632007233273054,0.6065573770491803,0.5091406677613575,0.48041661707311406,0.07949939993610824,0.0,0.2042027409182742,463.6081967213115,178.31603018971828,0.0007634049290425,0.5910331384015595,0.316848299912816,0.4098015873015872,0.3380752905963883,0.1994645247657296,0.0,0.26026188280766893,235.3175675675676,183.15665161148306,0.0007634049290425,10.446088349999854,10.608895230000003,1.5759132264232496
activemq-5.3.0,0.6626016260162602,0.2527472527472527,0.0156760354272257,0.3603072429274625,0.6167437689085924,0.4019773721466282,0.4975484147827592,0.4714881740326728,0.37050179202013234,0.9049540814362642,0.6790018904291176,0.2553191489361702,0.6172161172161172,0.344551282051282,0.34250342441408677,0.0447504450225934,1.0,0.20460406104086853,534.342731829574,116.54005705293807,0.0028098463589003,0.40705192968276416,0.22190656565656564,0.2888611469072164,0.1835602979086874,0.1995318859872576,1.0,0.2766777835288591,195.44323905462997,142.58528637495633,0.0028098463589003,11.659436500000083,11.570960987000017,1.7500323485640406
activemq-5.8.0,0.6273148148148149,0.15751879699248117,0.0060113508817729,0.2477033291192583,0.576258389408777,0.2719611772676151,0.3957935941832843,0.40426129318648496,0.2928137219352983,0.942345071234756,0.65142620343695,0.3289473684210526,0.13546306761518515,0.19223430962343097,0.13106134577509015,0.15444592976161486,1.0,0.20030833470689996,171.25510725229827,124.69557761137662,0.0021882959980913,0.39715954875100723,0.11350337009803921,0.1768292682926829,0.1227694266990717,0.19968919499814047,1.0,0.24180505097527777,145.1703661151961,124.97783776520791,0.0021882959980913,12.513083700000152,12.610474783999962,2.335797002147631
derby-10.2.1.6,0.7420031298904539,0.6827751534773455,0.117777148720852,0.7160342717258261,0.7838145394949146,0.7704779332840825,0.77703363564964,0.7608614689631529,0.5829425619312483,0.8153211318212441,0.7292547079654139,0.4886657370246922,0.7209145021645021,0.580764163372859,0.44669633188500946,0.2254653294218405,1.0,0.20153679816158285,521.2784090909091,587.982671887615,0.0014293163345962,0.4271544845196297,0.719294789717325,0.532988227100438,0.4015687465164618,0.199438202247191,1.0,0.1487311531414812,520.0,708.3392456041947,0.0014293163345962,11.632999449999716,11.74248467999997,2.0629112767718794
derby-10.3.1.4,0.7196316779427865,0.5302911162368071,0.0876238851964535,0.6071823798012356,0.7191914660186571,0.6670110466147212,0.6933468498512718,0.6591905833325293,0.48443178962725675,0.7942641162102618,0.6071500911447518,0.35845362535257996,0.6852499352499353,0.472829578432024,0.362518840535554,0.15834674847371136,0.0,0.20158197577742049,558.4663400853519,439.0022586263376,0.0007360730387167,0.4620341410106643,0.7006097560975609,0.5592860973571634,0.43618804142203993,0.19950889653966505,0.0,0.3634058807053795,571.0384954451954,309.2250594654706,0.0007360730387167,12.579886249999618,12.601716126000019,2.0162592704436846
derby-10.5.1.1,0.6696969696969697,0.27466746079015286,0.02149260625830475,0.38677095203563655,0.6258598941253884,0.42862265161653756,0.5186892510461503,0.4868139207333084,0.37653900754165737,0.8799787694200282,0.5948651386016901,0.24011617825559212,0.6464460784313726,0.34518866221339584,0.34151387335104705,0.04994908350305495,0.0,0.2040180257325002,651.8365384615385,159.05486153596013,0.0007536323433829,0.3485840400734017,0.2425742574257425,0.2873330635370295,0.1484230298130701,0.1995967741935483,0.0,0.3372535989615091,240.73471300273334,140.69200472275486,0.0007536323433829,12.84497354999985,12.884741755000015,2.298583745198455
groovy-1_5_7,0.6666666666666666,0.25,0.0037174721189591,0.3333333333333333,0.6204692254310575,0.3992696491672787,0.4977293281573606,0.4696302466916179,0.39130982441868156,0.9670931258522499,0.5988245548281221,0.2727272727272727,0.375,0.2666666666666666,0.2852871893922664,0.02920058081447235,0.0,0.2090550652599057,104.25,11.111449942927518,0.02532943367871905,0.3636363636363636,0.0555555555555555,0.0960061443932411,0.07668944039248295,0.1985294117647058,0.0,0.28494499645165694,15.163690476190478,11.947495857589928,0.02532943367871905,8.821492050000415,8.776045457000073,1.2944224498345016
groovy-1_6_BETA_1,0.6833333333333333,0.1785714285714285,0.0072072306054073,0.2857142857142857,0.5851801827013192,0.30210507155114796,0.4183815846705712,0.4189561727692662,0.3385811281376988,0.9216352069838174,0.6995718532238584,0.2600644122383252,0.5313725490196078,0.3063885267275097,0.3040346200744596,0.0408859789649648,0.0,0.21429796448562055,158.2379679144385,27.385086967625774,0.00422380441211115,0.5,0.2203389830508474,0.30772946859903383,0.23498002334736728,0.1986531986531986,0.0,0.2682563597571078,65.54913793103448,45.404342595695155,0.00422380441211115,8.85755545000029,8.932624387999986,1.38489079497102
groovy-1_6_BETA_2,0.7142857142857143,0.17624223602484465,0.00667781493868445,0.27149877149877144,0.5826384741951058,0.29927435033818006,0.41798944221402595,0.41748234451943067,0.3391304146020574,0.9213332233162808,0.6955640684189637,0.3397435897435897,0.5,0.2666666666666667,0.2616190107786341,0.041846195275832804,0.0,0.2067151627654047,162.5,39.052426049420575,0.0025005732794279997,0.46291208791208793,0.203125,0.27829787234042547,0.20210557318074218,0.1987280595324759,0.0,0.25259575287635283,65.4964421252372,52.09269694118217,0.0025005732794279997,9.027689649999957,9.097472916999905,1.461091661064461
hbase-0.94.0,0.6510869565217392,0.430379746835443,0.0581584716567491,0.5149553571428571,0.6814216232558361,0.5901081693791344,0.6350172132826308,0.5952076481629904,0.4357655305934799,0.8352315088567241,0.657782410470868,0.348309906291834,0.6311740890688259,0.4347826086956521,0.3829745754537516,0.11405342624854814,1.0,0.20534595883456835,246.62602291325695,132.37987715225506,0.0030602895887641,0.455050505050505,0.45512082853854996,0.455732829642728,0.31964922248536765,0.19898601758083584,1.0,0.4021459857587768,176.3380681818182,84.19500286460593,0.0030602895887641,10.132040499999675,10.027720187999984,1.4884302458903262
hbase-0.95.0,0.6695402298850575,0.2872233400402414,0.0425137797054305,0.3961808403974113,0.6207982623835722,0.44044585633359995,0.5234550026429979,0.49442262843888896,0.3422992931521957,0.8048980407836865,0.7965006306404249,0.3508530859956487,0.5911307174367308,0.4138355235171708,0.30837822841890994,0.12478441392526345,0.0,0.20343032296603886,362.0602507545856,229.71368127845818,0.00103494243605385,0.4214106695309703,0.47327235772357723,0.4423368306698304,0.29371948421207716,0.19937442529297825,0.0,0.2165246704569106,290.4734772757564,278.26091142217695,0.00103494243605385,11.42638850000003,11.29940965799995,1.897164775326199
hbase-0.95.2,0.6702788191190252,0.36268669478964766,0.06173898198766885,0.46753407682775716,0.6471604831230935,0.5243957066901739,0.5831993107631857,0.5480946783750997,0.37496802359330084,0.7824528617953743,0.692087895458112,0.33238095238095233,0.6613953488372093,0.44146255194977446,0.3537092675655694,0.13483153632764455,0.0,0.2047722627753552,446.41333333333336,284.70113652774614,0.0010826728194987,0.38525079915155497,0.5054511278195488,0.43647129986310523,0.2751358450095399,0.1994091580502215,0.0,0.37167071324243217,341.02642971064023,179.5239766866415,0.0010826728194987,11.674498299999868,11.537842104999926,1.9102403244494075
hive-0.10.0,0.6814634146341464,0.31414473684210525,0.01908373786407765,0.42787794729542306,0.6489500829719153,0.4759928962742242,0.5553874797940805,0.5148467773340482,0.4320492836265645,0.9042639252472369,0.7118834100886617,0.36038961038961037,0.626453488372093,0.41481734380334584,0.4034327299726115,0.06562780092774584,0.0,0.213758143817958,350.953560371517,96.81379041932567,0.0019114912173648,0.46674768007070255,0.2654867256637168,0.33702570379436964,0.23765156922590247,0.1993006993006993,0.0,0.27940994280148795,150.50851109674642,111.76161685888803,0.0019114912173648,10.11413635000008,10.245004558999936,1.5556232428884986
hive-0.12.0,0.5,0.1445113788487282,0.0068105216503983,0.22749326145552556,0.5662722718487678,0.25229469300073126,0.3787561215874935,0.39504997931617375,0.22778848068306962,0.9185146766248551,0.8660511058421239,0.7236842105263158,0.0992943423369794,0.17485917660725153,0.08871653191489645,0.6068278569823475,0.0,0.20034561846486684,97.80345578231294,284.0852908236204,0.0007437306997652,0.36083052749719413,0.13914893617021276,0.19825499782177256,0.11700791433454444,0.1995863495346432,0.0,0.04276240126673795,140.0,658.6793066174366,0.0007437306997652,11.775151549998554,11.572693627999943,2.0275365404922434
