,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,accuracy,Popt,cErecall,cEprecision,cEfmeasure,cMCC,cPMI,cIFA,cPCI,c_ROI_PII,c_ROI_PCI,ceIFA,mRecall,mPrecision,mfmeasure,mMCC,mPMI,mIFA,mPCI,m_ROI_PII,m_ROI_PCI,meIFA,median_time,mean_time,std_time
activemq-5.0.0,0.5476460578559275,0.4857407407407407,0.06832165974563864,0.5303663634128349,0.7118372209257432,0.6364771196787254,0.6734152551335928,0.6297601127667849,0.46523854949050486,0.864706683883024,0.6442891960055321,0.38249787595581985,0.49375,0.4304272838544564,0.3530212590664047,0.1078784166602863,3.0,0.20235155625325352,344.325,198.22962864023424,0.0030889409173948,0.528888888888889,0.39927536231884053,0.45678719620628333,0.3486074561353387,0.1994177583697234,3.0,0.37552083649325785,276.3949275362319,157.84386803742638,0.0030889409173948,2.6988520000013523,2.737239694000018,0.43192680741364714
activemq-5.1.0,0.3220046082949308,0.20341435185185186,0.02885480233024755,0.2564102564102564,0.5860911966291822,0.33444965014629435,0.4404887964531671,0.4352553218544969,0.2235684311076352,0.9060613649433285,0.548136387485445,0.2368258859784283,0.21089696071163822,0.2321327283040272,0.16197868821142625,0.08853795681783061,4.5,0.20162564597956165,155.21283255086075,69.03719810209662,0.007325869678395,0.360327868852459,0.13937451437451434,0.20050251256281404,0.11688610070700005,0.199442119944212,4.5,0.3011649507227887,100.34819347319348,67.07126808633078,0.007325869678395,2.6660579500021413,2.847986426999705,0.5565207034219533
activemq-5.2.0,0.5670914542728636,0.49092331768388103,0.043841786992471904,0.5013661202185793,0.7087120810904036,0.6340533436185387,0.6699569933853374,0.6288583830959865,0.46074092518675713,0.9036873002121112,0.6714861384979044,0.41445993031358885,0.5102040816326531,0.46263580058889225,0.41500971505653983,0.093243562485235,1.0,0.20297643617690597,385.0689655172414,161.65369793583673,0.00158322792249125,0.5653846153846154,0.29765527116520496,0.38669294878445204,0.3144324739511501,0.1994645247657296,1.0,0.34874148876714134,220.7313907284768,123.52441568425148,0.00158322792249125,3.958585150001454,3.902926612999581,0.6610913400462294
activemq-5.3.0,0.5375234521575984,0.24224064625850333,0.0219638242894056,0.3404255319148936,0.6093833156888913,0.38890873340817567,0.48451679111445467,0.4640778516958137,0.32535061060483816,0.8946796212705053,0.530568373745852,0.24000783699059558,0.4715425531914893,0.3092919935721712,0.2762897933687778,0.05479459195308675,4.0,0.2023624697423908,413.2534574468085,112.11090745748062,0.0045820799191143,0.35519713261648744,0.19264507422402155,0.25,0.13339567236425595,0.1995318859872576,4.0,0.34502770653052584,165.67543859649123,95.10844686300946,0.0045820799191143,3.644101900004898,3.7593624740012457,0.6171246474460066
activemq-5.8.0,0.4336349924585219,0.1879956741167988,0.0149169985754571,0.26365441906653425,0.5852810047783077,0.309740813541844,0.426443019546163,0.42265332722313553,0.2705238024460682,0.935511021498389,0.576641069873654,0.23836580086580078,0.1774475524475524,0.20633710801393718,0.1482183223777645,0.07917609046849755,2.0,0.20082708484844486,224.8226711560045,89.9466500516266,0.0031483575909972503,0.4496336996336996,0.1383399209486166,0.21036826299984196,0.15912032131438655,0.19968919499814047,2.0,0.3068585103501231,175.14028112449796,109.85438151155772,0.0031483575909972503,6.934530749997066,6.842907017000689,1.009724196851659
derby-10.2.1.6,0.7550551470588236,0.6292571648888318,0.10162870762711865,0.6873623348017621,0.7649676143106077,0.7415524084130014,0.7517720701863293,0.7304071385475078,0.5545069820011129,0.8068344728984507,0.6790850620278367,0.4594571230982019,0.718349358974359,0.5598982188295165,0.4257767727215183,0.21340094412933935,1.0,0.20180647747693453,520.0254777070063,548.2130501875583,0.0015083966375575,0.42678377399492934,0.7157635467980296,0.5345277576090584,0.40376327765045383,0.199438202247191,1.0,0.16758326852123714,520.0,613.4274582928367,0.0015083966375575,2.3106309499999043,2.3359417319997737,0.15328580634705555
derby-10.3.1.4,0.6494804262896324,0.540822447347374,0.1251102292768959,0.5889690982776088,0.7064071302932582,0.6659461222930236,0.6869861129979165,0.66122350000264,0.42856440794492867,0.7694681168242294,0.5449331290719375,0.35256148586590463,0.5968992248062015,0.44161303183915246,0.29514454111821375,0.17614629554928055,2.0,0.2013408951994213,482.25405214940105,427.3039106388155,0.0020965813370150002,0.4066418630287998,0.6031290284776749,0.48275192387056054,0.3318011946949315,0.19950889653966505,2.0,0.2710513471742128,492.5,370.85367840974084,0.0020965813370150002,2.6421524500037776,2.6627087140004733,0.17147523847131702
derby-10.5.1.1,0.48616400101548607,0.3664139161462979,0.0581250772321525,0.41364760657645855,0.6499296948390203,0.5226261294703056,0.5828633847836713,0.5461173450778023,0.3428032433812565,0.857580796882349,0.5225622131775822,0.27272005924672027,0.435869760748336,0.3278685011358279,0.26306921845097736,0.0817865475422628,1.5,0.20267008696701688,434.82280985788805,184.0734790531343,0.00151423957701115,0.4583252942311402,0.321608040201005,0.37813967289801187,0.2642522087019311,0.1995967741935483,1.5,0.4987409696617387,316.11928934010155,131.85432838848013,0.00151423957701115,3.593422450001526,3.6700912009994497,0.3658655230423479
groovy-1_5_7,0.1111111111111111,0.3333333333333333,0.08955348565222834,0.1704600484261501,0.605404474843984,0.4587382417655069,0.5193613124898375,0.4979628987544761,0.1511459993121254,0.8927040330263576,0.49660074740340543,0.25,0.0801282051282051,0.1194295900178253,0.081153301640094,0.10215924426450734,17.0,0.21511246101062964,22.017601043024772,9.947391593938622,0.068908384153259,0.3333333333333333,0.0545454545454545,0.0952380952380952,0.0623063385438438,0.1985294117647058,17.0,0.35421123118355713,15.11114922813036,10.296522689462321,0.068908384153259,0.6698299500058056,0.6537968859983084,0.19547927353209366
groovy-1_6_BETA_1,0.297270955165692,0.4166666666666667,0.087102520121388,0.3333333333333333,0.64941534914361,0.5583033248935743,0.6005320486766641,0.5696735383129816,0.2760097609429199,0.8707734775505606,0.5385872013906319,0.3726851851851851,0.27211538461538465,0.30769230769230765,0.24371204453020123,0.12115440619721585,4.0,0.20914762288439548,81.58717948717948,44.011212978776136,0.0112118383000341,0.4114420062695925,0.1778832326718435,0.24004714510214764,0.15795328500358108,0.1986531986531986,4.0,0.38379415350561363,52.94104112740868,29.652014814394718,0.0112118383000341,0.8713676999977906,0.8317327010007284,0.23474133340250333
groovy-1_6_BETA_2,0.2751859364435429,0.3571428571428571,0.10013781870575705,0.29647715381932327,0.6242271666866914,0.5020873617928504,0.5509923033046547,0.5329959301208278,0.23546566946732544,0.8588942307692308,0.5360337213094106,0.280625,0.24695121951219512,0.25348631950573697,0.19357145230419687,0.10994935154631261,3.0,0.2136995130590607,77.39528101802757,36.11037689747586,0.0085818116622456,0.36038961038961037,0.1550480769230769,0.21507863089731727,0.1213469483127676,0.1987280595324759,3.0,0.3903421863175798,50.23704789833822,26.64857294315906,0.0085818116622456,0.8443510500001139,0.8407048309998936,0.2133548329275853
hbase-0.94.0,0.4701426024955436,0.48423202614379085,0.14576617658620955,0.4805194805194805,0.6752984358467313,0.6197520134226118,0.6481744160920075,0.6200788283440428,0.3501199919532304,0.7802199663883769,0.5850433933828312,0.38708333333333333,0.4239856189008731,0.39999999999999997,0.26066285505806763,0.18764351765655055,3.0,0.20356453090793503,165.8452380952381,149.64622647894163,0.0060493810567382005,0.39395943562610225,0.40383034686832153,0.39871794871794874,0.24795791121593924,0.19898601758083584,3.0,0.22355477915918454,155.8000333000333,137.1823491123543,0.0060493810567382005,1.190183149999939,1.202156448000751,0.19563049031661475
hbase-0.95.0,0.5806818181818182,0.2887323943661972,0.0614517996382589,0.37850957753870373,0.609961965154938,0.44023372980871545,0.5183696190741856,0.4941421062235693,0.2894603095395746,0.7901128644444153,0.5280034021229699,0.3108015528659511,0.5553249833246869,0.3892611453587064,0.2905510590202475,0.12312377998975535,1.0,0.22216010309427175,341.8076221943717,172.7797828569765,0.0017988718966528501,0.43173642903858733,0.5,0.46302260573650944,0.31833155737350216,0.19937442529297825,1.0,0.317925151385546,305.0,195.5995263026686,0.0017988718966528501,1.7835902000006172,1.8310942599996634,0.1748928195003367
hbase-0.95.2,0.6162005785920925,0.31577196095829635,0.0723618821361906,0.4206958073148974,0.6206217621338137,0.4729175414731193,0.5421278012632766,0.5142558033925888,0.31289490398949854,0.7658308597614956,0.5147014797302993,0.3142352016762703,0.6096575606002308,0.398629486867845,0.30089771483558914,0.13732845169015373,1.0,0.20378128014433586,408.64204545454544,273.21960626308305,0.001917313268195,0.3370476131355143,0.4468924431086303,0.3830464699039845,0.20332330297486723,0.1994091580502215,1.0,0.33731013115098024,305.67948858647935,174.45795196414588,0.001917313268195,2.016333499996108,2.034985824999021,0.13306553346822103
hive-0.10.0,0.3476052249637155,0.4658408408408409,0.1141770811914064,0.39420621051216553,0.6774801941673259,0.6082575860846806,0.6450676100335809,0.6087837417683806,0.3271437631792252,0.8398962064847983,0.5724916432029611,0.38225108225108223,0.2998882837592515,0.3333333333333333,0.2423830167656054,0.14934432931815128,4.0,0.2037663551368031,171.55370436015596,116.98203954777443,0.005834651087642801,0.46770833333333334,0.2695652173913043,0.3406593406593406,0.2382549270362741,0.1993006993006993,4.0,0.42398825797182427,155.53452248234856,79.87441438350533,0.005834651087642801,2.302252649991715,2.2930466869998782,0.4479900491192215
hive-0.12.0,0.207516339869281,0.25136376686764283,0.08315683760631229,0.21338235294117647,0.5741180236958796,0.3612838903964586,0.44842480694612685,0.4455790993293267,0.1543761651129519,0.8614983750937446,0.5627751772600684,0.2848324514991182,0.14691860465116274,0.1927044261065266,0.1113452019041983,0.1756306280304779,3.0,0.2021474079254712,143.23412790697677,101.5860797390356,0.0028723487912517,0.2611201298701299,0.10687645687645685,0.150812274368231,0.04485827313878335,0.1995863495346432,3.0,0.22596372374356155,105.21430802874103,89.31679734454464,0.0028723487912517,4.825667799996154,5.113163690999208,1.0056684737986206
hive-0.9.0,0.5555555555555556,0.4413652986590817,0.0925726774439741,0.48320937570430467,0.6681248052689883,0.5767841228524051,0.6199547088525428,0.5864448418769119,0.39614056545816895,0.8145640805215273,0.467547136000051,0.31867231910588684,0.46534891165172854,0.3850422832980972,0.2743597886425333,0.1355468019954283,2.0,0.2043383458715978,244.48684210526318,158.73007628418054,0.00328181303181695,0.4245283018867924,0.43332728592162556,0.4292682926829268,0.2860900221876739,0.1992337164750957,2.0,0.6202339156868355,226.3043782673637,79.79401017973231,0.00328181303181695,1.712026400004106,1.7450925989996176,0.2546495368380567
jruby-1.1,0.48398398398398396,0.446360153256705,0.0643776824034334,0.4498419085944237,0.6839882053654024,0.5989426161563292,0.6379774788357904,0.6036778388975134,0.39025318389465,0.8765621928272531,0.5590396012679916,0.3192508710801394,0.4128787878787879,0.3682888540031397,0.29444297976231865,0.0938248134065624,4.0,0.21123754482217738,108.57575757575758,47.130698391243115,0.01479500572009935,0.5173237753882916,0.3076923076923077,0.39520528280218203,0.3050881562684355,0.1984435797665369,4.0,0.4400969656816764,81.18518518518518,37.289015887053836,0.01479500572009935,0.8264701000007335,0.7775960560003295,0.19578350793216495
jruby-1.4.0,0.46922348484848486,0.36365414710485133,0.10154850425777315,0.4031432748538012,0.6333031694930167,0.5189880583627257,0.5731015835557804,0.5435922419327113,0.3069663868357802,0.8084256387535076,0.4727164904599601,0.2667142093064717,0.4,0.31337071015970097,0.21236204080723797,0.1250010088537,7.0,0.2085220179313806,142.7060606060606,82.73942740532517,0.0137136233634711,0.352112676056338,0.33330248056275447,0.33928928928928925,0.18477223911585028,0.1988795518207282,7.0,0.5050449172275935,120.16438356164383,47.286838379817816,0.0137136233634711,1.0212354499963112,1.064014314000233,0.16800478485540987
jruby-1.5.0,0.4,0.36931818181818177,0.044561020186612746,0.38196555217831807,0.6656305580724186,0.535444723343883,0.599321560727272,0.5535729818521521,0.3462038064520875,0.9130462706174282,0.5710950726098142,0.3214285714285714,0.36851851851851847,0.3333333333333333,0.29344006972812825,0.06563360057436875,5.0,0.2138614352081234,153.7784090909091,42.439007374121445,0.01070468029647575,0.4375,0.15241995532390168,0.2242184982275217,0.16538011404626884,0.19906865296209553,5.0,0.36937896707236,65.0,35.203111233338504,0.01070468029647575,1.2940300999980536,1.2511692349999795,0.2607826491501193
