,precision,recall,pf,F1,AUC,g_measure,g_mean,bal,MCC,accuracy,Popt,cErecall,cEprecision,cEfmeasure,cMCC,cPMI,cIFA,cPCI,c_ROI_PII,c_ROI_PCI,ceIFA,mRecall,mPrecision,mfmeasure,mMCC,mPMI,mIFA,mPCI,m_ROI_PII,m_ROI_PCI,meIFA,median_time,mean_time,std_time
activemq-5.0.0,0.28725533233486544,0.7416574990832416,0.329999249831212,0.41504791504791505,0.7027278607798045,0.7001381854323727,0.7014231931512512,0.699085343024276,0.29807428991436613,0.6801412817567065,0.5289148719913421,0.22535771065182825,0.1595712560386473,0.18487721342443014,0.01258527800502875,0.21537486230167036,4.5,0.2009648041294532,110.44868035190618,119.30468166833683,0.0059354156974893504,0.2028133903133903,0.15412895927601805,0.17550937695737073,0.0036064753898159,0.1994177583697234,4.5,0.17817424470097865,105.6065693430657,120.68303898900288,0.0059354156974893504,0.029532700000000252,0.031697544999999924,0.011663556063640073
activemq-5.1.0,0.15798516910833782,0.7713815789473684,0.3565605299946367,0.2615256293600242,0.7071684173888546,0.7007271010973215,0.704546838137702,0.6993181875252428,0.23043721347194107,0.65358226428627,0.5499773788469439,0.25,0.0891719745222929,0.1308411214953271,0.0189225395599645,0.22481161326693594,31.5,0.2011148304972574,64.6537454164484,69.83466553982922,0.032395201760389444,0.2222222222222222,0.0890410958904109,0.1280788177339901,0.01776361070210005,0.199442119944212,31.5,0.16686850614383153,65.0909090909091,73.36661968865042,0.032395201760389444,0.0305199999999992,0.032501156999999836,0.007396134656403433
activemq-5.2.0,0.192750743708336,0.6932126696832579,0.3518924329138705,0.29539044597214875,0.6701482547655575,0.6692475420271936,0.6700140264439436,0.6692158977917819,0.21701634053616708,0.6564025396962128,0.5361444641337096,0.24179487179487175,0.10947574992991305,0.1495098039215686,0.0069566898151048,0.2340010773505709,7.0,0.2007797738407821,81.83709167898911,94.68133502634582,0.0076718764165133995,0.1881944444444444,0.09901097943534325,0.12859786588967193,-0.0095694285075943,0.1994645247657296,7.0,0.15579515897542995,75.04901960784314,92.85057355474939,0.0076718764165133995,0.030697050000001398,0.0318253359999999,0.004120246592050536
activemq-5.3.0,0.20060362722604608,0.6614186463469296,0.33628539234254745,0.29195757072866513,0.6598659604073738,0.6598543731674854,0.6598601667399691,0.6598547415251227,0.2082969165625762,0.6649817203209099,0.5202528339909285,0.2244897959183673,0.1036269430051813,0.13803650220617725,-0.01171322914487965,0.2254730272426824,4.0,0.20070120763653992,90.07724664326705,107.08111443809723,0.00516714202063745,0.18051562200498364,0.0982658959537572,0.12663337494798171,-0.016044958639007102,0.1995318859872576,4.0,0.1655207031579706,85.34168455821634,105.1375608972252,0.00516714202063745,0.0357201499999977,0.037330037000000045,0.006737046810578809
activemq-5.8.0,0.13426931056110386,0.8082191780821918,0.32757285723092056,0.2257013444433785,0.7397876589564116,0.7334715162568979,0.7369966454992736,0.7290227189899323,0.23377315726076414,0.6809388046023827,0.571950777591602,0.27278877050566547,0.07831033648027111,0.1214069900375632,0.041310756143195154,0.2024333350021602,7.0,0.20043495352856555,99.02719665271965,99.6944035342464,0.00461024528467405,0.26713615023474174,0.0793663291498039,0.12213768926680091,0.0418409557763646,0.19968919499814047,7.0,0.19650408053017465,100.11768002241524,101.72285443028213,0.00461024528467405,0.049406450000001045,0.049585368999999976,0.0012629084474891324
derby-10.2.1.6,0.5525317328918322,0.6694956396655578,0.27537647192028986,0.600765651942869,0.695029777231241,0.6936401221038024,0.6940127016071187,0.6933912251742552,0.37650341010511956,0.7039609411219286,0.5133729392932052,0.3104143492769744,0.44940296920950995,0.36911809261892,0.13055288067749515,0.23193402304077604,1.0,0.20098847981151108,323.2791041695335,375.20062853806934,0.0022471511252683003,0.2600354191263282,0.4366197183098591,0.32564057044795547,0.1080957988967762,0.199438202247191,1.0,0.16055543690374657,315.21875,390.956420529657,0.0022471511252683003,0.0290092999999984,0.02900973200000009,0.0007213471932268826
derby-10.3.1.4,0.4876543209876543,0.6598319327731093,0.30043846029636434,0.5602076367149993,0.6810922726109038,0.6801049015466478,0.6807782623342991,0.6800078964240512,0.33746541026179255,0.6887793072059438,0.49475800730844316,0.2924901185770751,0.3799874921826141,0.331797940059558,0.0939447291747243,0.2335621466622326,1.0,0.20082055174010188,307.306663924311,354.4810557107062,0.0017868360738207,0.2453303355240401,0.3749953522959657,0.29565292541699073,0.07534013477042334,0.19950889653966505,1.0,0.1582118279780316,303.0769230769231,379.85732727968315,0.0017868360738207,0.0322431999999963,0.03228975800000003,0.0008597731781319626
derby-10.5.1.1,0.2695233925364705,0.7644957983193277,0.3402288646382079,0.39453644929193554,0.7131111101657861,0.7087225782838669,0.7110979766419452,0.7075846518935107,0.30170092591010866,0.6746795274337913,0.537621167409063,0.2673906031609504,0.1640883325460557,0.20512465373961214,0.036218785764567996,0.22968368068792722,2.0,0.20071060795466522,164.3178998670802,189.28420203755223,0.0021853613465827,0.22262190247801755,0.1569630313285135,0.1834319526627219,0.022467492255779348,0.1995967741935483,2.0,0.1635642346218888,155.47328550709625,191.86654498814858,0.0021853613465827,0.03881179999999765,0.03892283299999977,0.001068456089416646
groovy-1_5_7,0.11414392059553344,0.5416666666666667,0.1417922061752988,0.1866666666666666,0.7047906119881377,0.6644615728953921,0.6927916556845028,0.6576404214486424,0.21798127940380263,0.8570972502057379,0.5526065954733186,0.25,0.0425531914893617,0.0727272727272727,0.028953342937327202,0.17278492137535656,17.0,0.2023957280572957,11.959296947271046,9.975052474244517,0.05570514634265025,0.2857142857142857,0.0535714285714285,0.08889376646180855,0.0361125309483428,0.1985294117647058,17.0,0.24691677677611001,15.054058441558443,10.81417490090044,0.05570514634265025,0.0123682000000009,0.012410695999999985,0.00047574681668291843
groovy-1_6_BETA_1,0.17445054945054939,0.5626086956521739,0.26000052895359754,0.26047075112495666,0.6459937178162214,0.635925107023745,0.6414570936731732,0.636895852089598,0.18892226322967345,0.726027397260274,0.5001616445905597,0.24,0.1147849462365591,0.1505376344086021,0.03632415806205985,0.1925037150552614,7.0,0.20330186780411175,34.2510752688172,29.606373855157916,0.023215398105230947,0.25,0.1052631578947368,0.14545988833382306,0.039193411156493205,0.1986531986531986,7.0,0.21454035593347134,30.393866020984664,29.62798691007054,0.023215398105230947,0.0132810999999968,0.013310781999999955,0.0005813772184015904
