Project,Feature_Sparsity,Jaccard_Stability(AJS)
activemq-5.0.0,0.8829230769230771,0.199358608558815
activemq-5.1.0,0.8667692307692311,0.1793032726933656
activemq-5.2.0,0.8781538461538462,0.21210812369223103
activemq-5.3.0,0.8904615384615387,0.2085268158436373
activemq-5.8.0,0.8963076923076924,0.20909928507451728
derby-10.2.1.6,0.9136923076923077,0.2582486139400484
derby-10.3.1.4,0.916,0.2611811038023628
derby-10.5.1.1,0.9018461538461539,0.22491792758984805
groovy-1_5_7,0.6298461538461538,0.1856086500358946
groovy-1_6_BETA_1,0.7483076923076923,0.21894785774558734
groovy-1_6_BETA_2,0.7613846153846153,0.19906367301620143
hbase-0.94.0,0.9041538461538462,0.22765839500101628
hbase-0.95.0,0.9292307692307693,0.26199245657449993
hbase-0.95.2,0.9406153846153845,0.22332895136816705
hive-0.10.0,0.9129230769230771,0.18084324764407322
hive-0.12.0,0.9133846153846154,0.2010316387354571
hive-0.9.0,0.9187692307692309,0.23270120392927413
jruby-1.1,0.7978461538461539,0.18470209376298127
jruby-1.4.0,0.8981538461538462,0.15687105540562712
jruby-1.5.0,0.800923076923077,0.1830759434732603
jruby-1.7.0.preview1,0.8743076923076923,0.16462904847321774
lucene-2.3.0,0.8293846153846155,0.26375657347277576
lucene-2.9.0,0.9078461538461541,0.21525404191038866
lucene-3.0.0,0.8987692307692308,0.20958065956517974
lucene-3.1,0.8903076923076924,0.1467172352930867
wicket-1.3.0-beta2,0.847846153846154,0.16418096141522354
wicket-1.3.0-incubating-beta-1,0.826153846153846,0.18956492824913876
wicket-1.5.3,0.8544615384615385,0.1548302238601516
Average,0.8653846153846155,0.20418152107592955
