Project,Feature_Sparsity,Jaccard_Stability(AJS)
activemq-5.0.0,0.9673846153846154,0.25772759508475807
activemq-5.1.0,0.9496923076923077,0.2051519666741545
activemq-5.2.0,0.9555384615384616,0.2274672241338908
activemq-5.3.0,0.9719999999999999,0.291678973752339
activemq-5.8.0,0.9709230769230769,0.20974992614311497
derby-10.2.1.6,0.9839999999999999,0.2905040053989299
derby-10.3.1.4,0.9887692307692307,0.361638336645373
derby-10.5.1.1,0.9789230769230768,0.25670002836669503
groovy-1_5_7,0.48307692307692307,0.15975709953006134
groovy-1_6_BETA_1,0.7559999999999999,0.22720711567882973
groovy-1_6_BETA_2,0.7575384615384614,0.2241596965126377
hbase-0.94.0,0.961076923076923,0.26075926408603023
hbase-0.95.0,0.9889230769230768,0.3062722469838522
hbase-0.95.2,0.993076923076923,0.324191360598622
hive-0.10.0,0.9570769230769229,0.22923190929289058
hive-0.12.0,0.9775384615384617,0.3174720818857229
hive-0.9.0,0.9710769230769231,0.3078482161426152
jruby-1.1,0.8266153846153845,0.16775384325951923
jruby-1.4.0,0.9466153846153847,0.24794125254299754
jruby-1.5.0,0.7827692307692309,0.17352642263797155
jruby-1.7.0.preview1,0.8343076923076922,0.1728771862621192
lucene-2.3.0,0.849230769230769,0.24943475034102675
lucene-2.9.0,0.9690769230769231,0.29866941745401265
lucene-3.0.0,0.924923076923077,0.26014625494314014
lucene-3.1,0.962153846153846,0.2215172315739911
wicket-1.3.0-beta2,0.9512307692307691,0.2003218447645692
wicket-1.3.0-incubating-beta-1,0.859076923076923,0.222840197107483
wicket-1.5.3,0.9164615384615385,0.20093618150377693
Average,0.9083956043956044,0.24548148676075446
