Project,Feature_Sparsity,Jaccard_Stability(AJS)
activemq-5.0.0,0.9893846153846154,0.31870143775951076
activemq-5.1.0,0.9795384615384615,0.3746867416981874
activemq-5.2.0,0.9695384615384615,0.3597015976695121
activemq-5.3.0,0.9819999999999999,0.36818732049241476
activemq-5.8.0,0.9756923076923077,0.2628577904879622
derby-10.2.1.6,0.9916923076923078,0.37512950231638664
derby-10.3.1.4,0.9815384615384616,0.33607771167861233
derby-10.5.1.1,0.9706153846153847,0.3038492763903215
groovy-1_5_7,0.9415384615384617,0.19346540494631306
groovy-1_6_BETA_1,0.9792307692307692,0.2880308349817684
groovy-1_6_BETA_2,0.9918461538461538,0.346935489499989
hbase-0.94.0,0.9847692307692308,0.29991170990701904
hbase-0.95.0,0.9952307692307693,0.26353244848225615
hbase-0.95.2,0.988923076923077,0.31330688104916454
hive-0.10.0,0.989076923076923,0.3405058473301273
hive-0.12.0,0.9963076923076923,0.45878966151693423
hive-0.9.0,0.9887692307692307,0.38568403600582973
jruby-1.1,0.9732307692307693,0.2817758543347248
jruby-1.4.0,0.986,0.2972886811825736
jruby-1.5.0,0.988,0.2835062369638784
jruby-1.7.0.preview1,0.988,0.2724050578581961
lucene-2.3.0,0.9676923076923077,0.31521565462366663
lucene-2.9.0,0.9893846153846152,0.374136220650434
lucene-3.0.0,0.9867692307692308,0.3277357044070619
lucene-3.1,0.9864615384615384,0.3635350431189628
wicket-1.3.0-beta2,0.9936923076923077,0.3118652468441379
wicket-1.3.0-incubating-beta-1,0.9838461538461538,0.3327259000915066
wicket-1.5.3,0.9835384615384615,0.27608316886297934
Average,0.9829395604395604,0.32234380218394393
