Project,Feature_Sparsity,Jaccard_Stability(AJS)
activemq-5.0.0,0.35815384615384616,0.1917504508362
activemq-5.1.0,0.37723076923076926,0.18745514743497668
activemq-5.2.0,0.26676923076923076,0.18951835060381828
activemq-5.3.0,0.4215384615384616,0.23276534656026168
activemq-5.8.0,0.44446153846153846,0.18047368465137487
derby-10.2.1.6,0.4104615384615385,0.21155654052923967
derby-10.3.1.4,0.5619999999999999,0.2833723730411975
derby-10.5.1.1,0.5475384615384615,0.2206931757335172
groovy-1_5_7,0.11876923076923078,0.1814244905421376
groovy-1_6_BETA_1,0.22276923076923075,0.1877829446963512
groovy-1_6_BETA_2,0.2812307692307692,0.20714335276770776
hbase-0.94.0,0.38292307692307687,0.1941552911165445
hbase-0.95.0,0.5098461538461538,0.21340628410100218
hbase-0.95.2,0.5263076923076923,0.22051677343168102
hive-0.10.0,0.3303076923076923,0.1772623813209234
hive-0.12.0,0.49399999999999994,0.23347303223370397
hive-0.9.0,0.39738461538461545,0.24551577383362724
jruby-1.1,0.20276923076923076,0.15281439205493996
jruby-1.4.0,0.32784615384615384,0.19593064956607503
jruby-1.5.0,0.2386153846153846,0.16192439313369983
jruby-1.7.0.preview1,0.2561538461538461,0.15912642704368007
lucene-2.3.0,0.2472307692307692,0.20294390199071688
lucene-2.9.0,0.5250769230769231,0.23104125549945986
lucene-3.0.0,0.40830769230769237,0.22283564751573012
lucene-3.1,0.26446153846153847,0.19070051797934337
wicket-1.3.0-beta2,0.3804615384615385,0.17901390881689222
wicket-1.3.0-incubating-beta-1,0.22076923076923072,0.2005027492756173
wicket-1.5.3,0.35184615384615386,0.16365177783650436
Average,0.35982967032967034,0.20066967907667582
