Project,Feature_Sparsity,Jaccard_Stability(AJS)
activemq-5.0.0,0.9847692307692307,0.6054476331749058
activemq-5.1.0,0.9841538461538459,0.427813424270878
activemq-5.2.0,0.9846153846153846,0.5962391921595412
activemq-5.3.0,0.9846153846153846,0.5002706988001104
activemq-5.8.0,0.9838461538461538,0.47494109970045795
derby-10.2.1.6,0.9907692307692306,0.6805237803722652
derby-10.3.1.4,0.9933846153846153,0.5849218626491354
derby-10.5.1.1,0.9843076923076921,0.5653781621428681
groovy-1_5_7,0.9663076923076923,0.3147042634147428
groovy-1_6_BETA_1,0.9843076923076923,0.5153420445666435
groovy-1_6_BETA_2,0.982153846153846,0.48028382185479473
hbase-0.94.0,0.9969230769230769,0.5283058949369109
hbase-0.95.0,0.9956923076923077,0.4862490094575656
hbase-0.95.2,0.9984615384615384,0.44723579846574496
hive-0.10.0,0.992153846153846,0.448232443927631
hive-0.12.0,0.997076923076923,0.6201949901949902
hive-0.9.0,0.9867692307692307,0.6421668903487086
jruby-1.1,0.9898461538461538,0.3830090032243142
jruby-1.4.0,0.9963076923076923,0.5316079348788796
jruby-1.5.0,0.9867692307692307,0.4189998247644368
jruby-1.7.0.preview1,0.9878461538461539,0.3517999830172642
lucene-2.3.0,0.9861538461538462,0.7819229255592892
lucene-2.9.0,0.9856923076923075,0.5191541306781948
lucene-3.0.0,0.9961538461538462,0.5839033363810546
lucene-3.1,0.9984615384615384,0.3977453463202595
wicket-1.3.0-beta2,0.9964615384615385,0.40666632318663465
wicket-1.3.0-incubating-beta-1,0.9961538461538462,0.5828171749027364
wicket-1.5.3,0.9856923076923078,0.4502656223422712
Average,0.9891373626373624,0.5116479505604724
