Project,Feature_Sparsity,Jaccard_Stability(AJS)
activemq-5.0.0,0.9944615384615383,0.2030042880540113
activemq-5.1.0,0.9843076923076921,0.1543604598970956
activemq-5.2.0,0.9843076923076921,0.1745896910593411
activemq-5.3.0,0.9839999999999999,0.16286597265441435
activemq-5.8.0,0.9827692307692307,0.17127988911083009
derby-10.2.1.6,0.9992307692307694,0.2359605591616099
derby-10.3.1.4,0.9998461538461538,0.20963856047494284
derby-10.5.1.1,0.9787692307692307,0.18797722200105163
groovy-1_5_7,0.9952307692307693,0.16875981126239123
groovy-1_6_BETA_1,0.9872307692307691,0.17675313324342315
groovy-1_6_BETA_2,0.9973846153846153,0.23430540308530734
hbase-0.94.0,0.9949230769230769,0.15852771677145444
hbase-0.95.0,0.9984615384615384,0.17974433975888146
hbase-0.95.2,0.9981538461538462,0.144864575074257
hive-0.10.0,0.9956923076923075,0.1655290524175973
hive-0.12.0,0.9947692307692307,0.17386645150272134
hive-0.9.0,0.9876923076923078,0.1605868057645898
jruby-1.1,0.9993846153846154,0.17665354329957011
jruby-1.4.0,0.9995384615384615,0.14169734137742396
jruby-1.5.0,0.9938461538461538,0.16065933309201907
jruby-1.7.0.preview1,0.9993846153846154,0.18564658814306997
lucene-2.3.0,0.9946153846153846,0.1831612352406986
lucene-2.9.0,0.9930769230769231,0.14370794772145745
lucene-3.0.0,0.9969230769230768,0.16354850333600685
lucene-3.1,0.9981538461538462,0.21000785769150526
wicket-1.3.0-beta2,0.9978461538461539,0.16468794693299807
wicket-1.3.0-incubating-beta-1,0.9986153846153846,0.16152783698425877
wicket-1.5.3,0.9944615384615385,0.17547620937713818
Average,0.9936813186813186,0.1760495812317881
