,Importance
CountLineCode,0.19660076743658
CountLine,0.09688004455716163
CountStmt,0.061699880073267724
SumCyclomaticStrict,0.06110845858122403
MaxCyclomaticStrict,0.05825238949467053
SumCyclomaticModified,0.05583615128268525
AvgLineCode,0.053271167934271925
MaxCyclomatic,0.05147271128014921
CountPath_Mean,0.03858259888596273
SumCyclomatic,0.03629880731441865
MAJOR_COMMIT,0.03179628787574921
MaxCyclomaticModified,0.026811440421679322
CountStmtDecl,0.014813752647443714
CountOutput_Max,0.014357039627748267
CountLineCodeExe,0.011485845220196546
CountStmtExe,0.011119423433209116
Added_lines,0.010808889133875574
CountInput_Mean,0.010416914512168394
COMM,0.009512488289374498
MaxNesting_Mean,0.008190471688978589
CountPath_Max,0.008124155264009576
AvgCyclomaticStrict,0.007278788090376243
OWN_LINE,0.007192428338572101
SumEssential,0.006896114838332512
Del_lines,0.006709360372470311
CountLineCodeDecl,0.006701511165556775
CountClassCoupled,0.006428683073518858
MAJOR_LINE,0.005555603429925382
CountOutput_Mean,0.005497149692000185
AvgLine,0.005319062530147851
RatioCommentToCode,0.0049652253536221725
CountLineBlank,0.0047349600878292385
CountDeclClassMethod,0.004384492512668407
CountSemicolon,0.0041762594221745695
ADEV,0.003816919948787145
CountClassDerived,0.003523694464441663
CountLineComment,0.003493480752905984
PercentLackOfCohesion,0.0034043664234007683
AvgEssential,0.0030850931891757668
CountDeclInstanceVariable,0.003035275130571454
CountInput_Max,0.0028732135495987536
MaxInheritanceTree,0.002371792078335907
CountDeclClass,0.002350348295788048
MaxNesting_Max,0.0022392451266308937
CountDeclMethodPrivate,0.0022185327399001126
CountDeclClassVariable,0.0021406154007756746
DDEV,0.002065491934500154
CountDeclMethodPublic,0.002038475236996044
CountPath_Min,0.00194590256885773
OWN_COMMIT,0.0018102675647572763
AvgLineBlank,0.0018022099190873038
CountDeclFunction,0.001536740652679499
AvgCyclomatic,0.001416985115087504
CountDeclMethod,0.0014035741028899393
CountDeclMethodProtected,0.0014013098026262748
CountOutput_Min,0.0011968348100034588
CountDeclMethodDefault,0.0010499797834001327
CountDeclInstanceMethod,0.001023721699824694
AvgCyclomaticModified,0.0010077720202194538
CountClassBase,0.0008707683853226543
MINOR_LINE,0.0008494318424916472
AvgLineComment,0.0006047270177936401
CountInput_Min,7.956063973643095e-05
MaxNesting_Min,6.434594139488318e-05
MINOR_COMMIT,0.0
