,Importance
Added_lines,0.034676163939256203
Del_lines,0.03250378783383501
ADEV,0.03212408442421442
COMM,0.031070873725987016
CountLine,0.028478387627097482
CountLineCode,0.02768523344151688
OWN_LINE,0.027454685500737264
CountLineCodeDecl,0.026035056292564158
CountClassCoupled,0.02566879732889951
CountStmtDecl,0.025180591346293715
CountLineCodeExe,0.025105606992649184
CountStmt,0.02492900887169312
CountSemicolon,0.02320042972398879
RatioCommentToCode,0.022423388020940384
CountLineComment,0.022064055657103683
CountInput_Mean,0.022049788923069958
DDEV,0.02171322640285333
CountOutput_Mean,0.021284326030747844
CountOutput_Max,0.021191207938441425
CountLineBlank,0.021100454138730306
SumCyclomaticStrict,0.021060241340904482
CountStmtExe,0.020899686449866235
SumCyclomaticModified,0.020382538238379135
MAJOR_COMMIT,0.018693089210368264
SumCyclomatic,0.018400839218917348
OWN_COMMIT,0.01763597563635166
CountInput_Max,0.017068456909325923
MaxNesting_Mean,0.016450349949621083
SumEssential,0.01574825359812416
CountDeclMethodPublic,0.015392733848014647
MaxInheritanceTree,0.014657299677515742
AvgLine,0.014512810108264237
PercentLackOfCohesion,0.014080987148079201
CountDeclMethod,0.013949935193809906
CountDeclInstanceMethod,0.013813572955889976
CountDeclFunction,0.013537963446146457
AvgLineCode,0.013187658251444117
CountPath_Mean,0.0124214213861633
MaxCyclomaticStrict,0.012016124950034254
CountDeclInstanceVariable,0.011616923893394077
MaxCyclomatic,0.011498090990244316
MaxCyclomaticModified,0.011078560645400446
MAJOR_LINE,0.011063260283508429
MINOR_LINE,0.010386543483710417
CountDeclMethodProtected,0.010279576076268379
AvgLineComment,0.00935915370907928
CountDeclMethodPrivate,0.009258576879343243
CountPath_Max,0.008849764339028966
CountDeclClassVariable,0.008134015713261718
CountDeclClassMethod,0.008000087246625587
CountOutput_Min,0.00792697131194415
CountInput_Min,0.007869203467406511
MaxNesting_Max,0.007506485417208288
CountDeclClass,0.006543288007695732
CountClassDerived,0.00630088246294753
CountClassBase,0.005639822362386499
AvgLineBlank,0.005235935250051021
CountDeclMethodDefault,0.005203497656035497
AvgCyclomaticStrict,0.004835364987628272
AvgCyclomaticModified,0.004123788982981326
AvgCyclomatic,0.003921563489878135
AvgEssential,0.0022488534150640897
CountPath_Min,0.0017791107503930639
MaxNesting_Min,0.0012539619796134423
MINOR_COMMIT,0.00023762552106181998
