,Importance
COMM,0.073021874
DDEV,0.053903617
Del_lines,0.039081898
Added_lines,0.034755852
CountOutput_Max,0.024344262
CountClassDerived,0.021574486
CountDeclClassVariable,0.020649593
CountLineCode,0.020079484
CountClassCoupled,0.01951331
CountLine,0.0177085
MaxInheritanceTree,0.017248591
CountInput_Min,0.01723617
SumCyclomatic,0.017153079
MAJOR_LINE,0.016901873
CountDeclMethodPrivate,0.016771464
AvgCyclomatic,0.01671856
AvgLineCode,0.016471503
AvgLine,0.016367396
CountLineCodeExe,0.016337004
CountDeclClassMethod,0.016306065
CountStmtDecl,0.016223947
CountInput_Max,0.016208215
CountPath_Min,0.01602916
CountDeclMethodProtected,0.015546741
CountDeclInstanceVariable,0.015286178
OWN_LINE,0.015196674
CountLineCodeDecl,0.015196434
MaxCyclomaticModified,0.015160508
MaxCyclomaticStrict,0.015097847
RatioCommentToCode,0.014751214
OWN_COMMIT,0.014593714
CountDeclClass,0.014459721
CountLineBlank,0.01418363
AvgEssential,0.014099163
CountOutput_Min,0.014040184
CountDeclFunction,0.013984589
CountDeclMethodPublic,0.013983059
CountDeclMethodDefault,0.0136464005
MaxCyclomatic,0.01321172
SumCyclomaticStrict,0.012864119
CountDeclInstanceMethod,0.012730251
PercentLackOfCohesion,0.012700596
CountInput_Mean,0.012397639
CountOutput_Mean,0.012247329
CountPath_Max,0.011978802
CountLineComment,0.011809101
AvgLineComment,0.011790479
AvgLineBlank,0.010944642
CountStmtExe,0.010777379
CountPath_Mean,0.010378594
MaxNesting_Mean,0.010376538
SumEssential,0.010355179
CountClassBase,0.009753836
MINOR_LINE,0.009612597
CountSemicolon,0.009260842
CountStmt,0.00922595
MaxNesting_Max,0.008904138
SumCyclomaticModified,0.008311537
MAJOR_COMMIT,0.0065900018
AvgCyclomaticStrict,0.005586982
AvgCyclomaticModified,0.0037460204
CountDeclMethod,0.0031356649
MaxNesting_Min,0.0014781187
ADEV,0.0
MINOR_COMMIT,0.0
