,Importance
ADEV,0.08132597394017278
Added_lines,0.07637805093314987
Del_lines,0.05735048413246814
COMM,0.050564739509376413
CountLineCodeExe,0.04459924299757685
OWN_LINE,0.04280434217362664
OWN_COMMIT,0.03633714487889985
CountClassCoupled,0.034987243346946646
CountLine,0.03146994290830489
CountLineCode,0.026890711515736316
CountInput_Mean,0.025485743405364268
RatioCommentToCode,0.023510747584254893
DDEV,0.02305584839957342
CountOutput_Mean,0.02271104189492027
CountStmtDecl,0.022001896540571775
