,Importance
ADEV,0.08132597394017278
Added_lines,0.07637805093314987
Del_lines,0.05735048413246814
COMM,0.050564739509376413
CountLineCodeExe,0.04459924299757685
OWN_LINE,0.04280434217362664
OWN_COMMIT,0.03633714487889985
CountClassCoupled,0.034987243346946646
CountLine,0.03146994290830489
CountLineCode,0.026890711515736316
CountInput_Mean,0.025485743405364268
RatioCommentToCode,0.023510747584254893
DDEV,0.02305584839957342
CountOutput_Mean,0.02271104189492027
CountStmtDecl,0.022001896540571775
MaxInheritanceTree,0.020885376499739684
CountOutput_Max,0.020616603042954904
CountInput_Max,0.019889986525964194
CountLineComment,0.019582622319997574
CountDeclMethodPublic,0.017556125425778658
MaxNesting_Mean,0.0174507729159857
CountSemicolon,0.016570002204141884
CountLineBlank,0.015000342744563674
MAJOR_LINE,0.013990263641768735
SumEssential,0.013147123858799686
AvgLine,0.01279349946078182
CountDeclMethodProtected,0.011471566025717745
CountLineCodeDecl,0.011257404312589888
CountStmtExe,0.010972501593192107
PercentLackOfCohesion,0.010918445252224575
CountDeclMethodPrivate,0.009427400557034121
CountDeclInstanceVariable,0.009283765039577872
CountInput_Min,0.008043825210569896
CountDeclMethodDefault,0.007805380160487314
MaxNesting_Max,0.007773232165500794
CountOutput_Min,0.007422944497808033
CountPath_Mean,0.0070094865343340845
MINOR_LINE,0.006572346676175129
MAJOR_COMMIT,0.006469789786810696
AvgLineBlank,0.006128081779288004
CountDeclClassVariable,0.006052425201482095
SumCyclomatic,0.005897718139877509
AvgLineCode,0.005778237741960469
AvgLineComment,0.005561561194914351
CountDeclClassMethod,0.00555737294444495
CountClassBase,0.00532485430361535
SumCyclomaticModified,0.005295745796255164
CountDeclFunction,0.005125961024628957
CountStmt,0.004944225514853092
CountClassDerived,0.0045769931287958365
MaxCyclomaticStrict,0.004546250593392785
CountPath_Max,0.0043243470651837
CountDeclInstanceMethod,0.004215981907810222
CountDeclClass,0.004168278581280756
AvgCyclomatic,0.0035030269081683563
MaxNesting_Min,0.003317327963631394
AvgCyclomaticStrict,0.0030664151237994298
SumCyclomaticStrict,0.0024630422125811215
CountDeclMethod,0.0020202368942610757
AvgCyclomaticModified,0.0016061729600063742
MaxCyclomatic,0.0015653882413891075
MaxCyclomaticModified,0.0014535246865212807
AvgEssential,0.00124886676924735
CountPath_Min,0.0008740027091694956
MINOR_COMMIT,0.0
