,Importance
OWN_LINE,0.08104364881812885
Added_lines,0.0702696450344945
Del_lines,0.0535536890985197
OWN_COMMIT,0.04243304000487139
CountClassCoupled,0.03460010768910833
COMM,0.0332003764108032
CountLine,0.031822403796931416
CountInput_Mean,0.031444296249253594
CountLineCode,0.026343041540160754
MaxInheritanceTree,0.026015900746302938
RatioCommentToCode,0.02595382441825459
CountLineComment,0.024971667025941426
ADEV,0.024956175279492888
CountOutput_Mean,0.023847234803408116
CountLineCodeExe,0.020877859491578308
