,CountLineCode,CountLine,CountStmt,SumCyclomaticStrict,MaxCyclomaticStrict,SumCyclomaticModified,AvgLineCode,MaxCyclomatic,CountPath_Mean,SumCyclomatic,MAJOR_COMMIT,MaxCyclomaticModified,CountStmtDecl,CountOutput_Max,CountLineCodeExe
activemq-5.0.0,0.725723063799981,0.007360475189933296,0.0,0.0,0.0,0.07202890428925003,0.0,0.0,0.0,0.0,0.06934338746238378,0.03132180090879611,0.0,0.023226388377122847,0.0
activemq-5.1.0,0.7837237646013508,0.0,0.0,0.0,0.07983589280999637,0.0,0.0,0.0,0.0,0.06681543775321491,0.0,0.0,0.0,0.0,0.0
activemq-5.2.0,0.0,0.0,0.0,0.0077768008047400675,0.0,0.0,0.022758157019736363,0.0,0.01809317430932609,0.0,0.683603829777658,0.0,0.0,0.027883207367135242,0.024288016317235248
activemq-5.3.0,0.0,0.0,0.0,0.028569285762856472,0.020727049805067392,0.0,0.0,0.012617928046916018,0.009725287130963586,0.007478725616820957,0.005021494179748024,0.668372475357831,0.12606613038983547,0.0,0.03822541190821883
activemq-5.8.0,0.7300883904534211,0.011153195445804604,0.0,0.04297522286791476,0.0,0.07200966470409072,0.013180994788061059,0.0,0.0,0.0,0.0,0.08952368428476344,0.0,0.007386119600492774,0.005588695104205937
derby-10.2.1.6,0.7546622743302703,0.0,0.0,0.0,0.15543670935660442,0.0,0.0,0.04129872294293705,0.0,0.014452286004772323,0.0,0.0,0.020919619587781373,0.0,0.0
derby-10.3.1.4,0.010490831224816786,0.8604220756380838,0.0,0.0,0.0,0.0,0.0,0.07147829331181611,0.0,0.008005254717164827,0.0499700602031304,0.0,0.0,0.0,0.0
derby-10.5.1.1,0.004120506168335287,0.7086396984359346,0.014956052688937129,0.0,0.00553661565888538,0.022649791331803833,0.0,0.03946104292623781,0.0,0.07938622486431278,0.0,0.0,0.010821931677113282,0.02032934672032793,0.0
groovy-1.5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7534315728471112,0.0,0.0,0.0,0.01288248999223457,0.0,0.16349355338315405
groovy-1_6_BETA_1,0.8807137743302302,0.0,0.017793848442662286,0.0,0.0,0.0,0.0,0.0,0.0,0.012738777862360494,0.0,0.0,0.0,0.0,0.0
groovy-1_6_BETA_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6472714210212899,0.024941913245186666,0.0,0.0,0.0,0.12645307311843,0.034055222603369344,0.0
hbase-0.94.0,0.012421962073086696,0.0,0.0,0.7758679055695409,0.0,0.0,0.0,0.1180362131310056,0.0,0.011147914680975238,0.0,0.02809274499605759,0.014269330791648308,0.006688748808585143,0.0
hbase-0.95.0,0.0,0.0015761350494655699,0.004738656433271222,0.06572678040843156,0.772631103855864,0.04638725666417316,0.0,0.006765848017217974,0.007611579019370223,0.008119017620661568,0.0,0.0,0.0,0.0,0.0
