特征,平均重要性,排名
CountLineCode,0.19660076743658,1
CountLine,0.09688004455716163,2
CountStmt,0.061699880073267724,3
SumCyclomaticStrict,0.06110845858122403,4
MaxCyclomaticStrict,0.05825238949467053,5
SumCyclomaticModified,0.05583615128268525,6
AvgLineCode,0.053271167934271925,7
MaxCyclomatic,0.05147271128014921,8
CountPath_Mean,0.03858259888596273,9
SumCyclomatic,0.03629880731441865,10
MAJOR_COMMIT,0.03179628787574921,11
MaxCyclomaticModified,0.026811440421679322,12
CountStmtDecl,0.014813752647443714,13
CountOutput_Max,0.014357039627748267,14
CountLineCodeExe,0.011485845220196546,15
